t : Time (s)
A : Acceleration (m/s^2): X, Y, Z
G : Gyroscope    (rad/s): X, Y, Z
M : Magnetometer (uT): X, Y, Z

t	AX	AY	AZ	GX	GY	GZ	MX	MY	MZ
2.4880400000001828	0.288	7.691	6.388	-0.03	0.412	-0.253	9.9	-23.4	-30.0	
2.528110000000197	0.124	7.781	6.136	-0.229	0.057	-0.264	10.5	-23.4	-30.0	
2.5680600000005143	-0.048	7.728	5.466	0.084	0.295	-0.293	10.8	-24.0	-29.4	
2.608280000000377	-0.17	7.872	5.524	0.254	0.442	-0.418	11.1	-23.7	-29.4	
2.6481900000007954	-0.685	8.052	6.131	-0.102	-0.036	-0.503	11.7	-24.0	-29.4	
2.6882600000008097	-1.3	8.448	6.002	-0.156	-0.267	-0.349	12.3	-23.4	-29.1	
2.7281800000000658	-1.045	8.142	6.305	-0.292	-0.596	-0.354	13.8	-23.4	-29.7	
2.7686200000007375	-1.088	7.962	6.006	-0.43	-0.628	-0.349	13.8	-22.8	-30.0	
2.8184799999999086	-1.307	8.154	5.942	-0.399	-0.454	-0.259	14.1	-21.9	-30.9	
2.856999999999971	-1.272	8.059	6.122	-0.287	-0.464	-0.171	13.5	-21.6	-31.2	
2.89716000000044	-1.006	7.673	5.888	-0.301	-0.329	-0.173	12.3	-21.0	-31.8	
2.9414700000006633	-1.102	7.752	5.853	-0.239	-0.113	-0.137	11.7	-20.7	-32.1	
2.977390000000014	-0.964	7.775	6.14	-0.193	-0.203	-0.068	11.1	-20.1	-32.4	
3.017820000000029	-0.969	7.45	6.222	-0.308	-0.048	-0.163	10.8	-19.2	-33.0	
3.0482200000005832	-0.708	7.329	6.525	-0.199	-0.095	-0.178	10.8	-18.0	-33.3	
3.0876200000002427	-0.647	7.202	6.809	-0.337	-0.173	-0.247	10.2	-17.7	-33.9	
3.1275900000000547	-0.817	7.253	6.514	-0.303	0.076	-0.226	10.2	-16.8	-33.3	
3.167660000000069	-1.178	7.468	6.791	0.049	0.214	-0.106	11.1	-16.2	-33.9	
3.207760000000235	-1.387	7.32	7.293	-0.07	0.164	-0.146	11.1	-15.6	-34.2	
3.2479300000004514	-1.365	7.184	7.171	0.102	-0.172	-0.145	11.1	-15.3	-33.9	
3.287810000000718	-1.294	7.174	7.167	0.22	-0.439	-0.283	11.4	-15.6	-34.5	
3.339600000000246	-1.178	7.126	5.99	0.22	-0.645	-0.255	10.8	-15.6	-34.5	
3.3772900000003574	-1.548	6.801	6.26	0.043	-0.984	-0.402	10.2	-15.9	-34.5	
3.418430000000626	-2.063	6.711	7.126	-0.283	-1.182	-0.902	9.6	-16.8	-34.8	
3.456480000000738	-1.949	6.635	6.87	-0.188	-0.564	-1.675	8.1	-16.8	-35.1	
3.501009999999951	-1.451	7.534	7.321	0.184	-0.062	-1.969	7.2	-16.5	-35.4	
3.5408000000006723	-0.892	8.103	6.377	1.595	-0.438	-1.303	7.2	-15.9	-36.3	
3.5770000000002256	-2.487	7.545	5.707	2.208	1.159	-2.545	7.5	-15.0	-36.9	
3.6172800000003917	-6.031	9.612	6.26	1.377	1.336	-4.043	9.0	-14.7	-36.6	
3.6570700000002034	-7.46	8.555	4.437	0.202	1.853	-3.851	12.0	-14.7	-34.5	
3.6960500000004686	-8.111	6.714	3.036	1.934	2.608	-5.457	15.9	-13.8	-31.8	
3.7390800000002855	-8.097	3.826	3.389	2.207	1.392	-6.867	26.7	-7.2	-24.9	
3.776400000000649	-9.878	2.968	4.119	0.025	0.482	-6.637	30.3	-2.4	-22.5	
3.820860000000721	-10.372	2.898	4.04	-0.786	0.209	-4.317	32.1	3.6	-20.1	
3.8612700000003315	-10.78	2.518	2.979	-0.08	-0.574	-1.752	32.1	10.2	-18.6	
3.896790000000692	-9.728	-0.087	2.715	-0.382	0.189	-1.163	30.6	16.5	-18.0	
3.9359400000003006	-7.68	-1.367	2.92	-0.931	0.151	-0.993	29.1	21.9	-17.1	
3.9758600000004662	-7.788	-1.185	2.968	-0.815	0.029	-0.683	27.9	25.2	-16.8	
4.006900000000314	-8.434	-0.98	2.852	-0.341	0.163	-0.471	26.1	29.1	-15.6	
4.047700000000077	-8.25	-1.722	2.924	-0.083	0.018	-0.455	25.5	30.9	-15.3	
4.08716000000004	-8.658	-2.3	2.699	0.149	-0.324	-0.245	25.2	32.7	-15.3	
4.127020000000812	-9.341	-2.741	1.906	0.14	-0.04	-0.202	24.3	33.6	-15.9	
4.1670500000000175	-9.094	-3.178	2.11	0.071	0.118	-0.401	24.0	33.9	-15.9	
4.207060000000638	-8.977	-2.692	2.182	0.456	-0.1	-0.033	23.7	33.9	-16.2	
4.246710000000348	-9.35	-3.075	2.059	0.525	-0.387	0.343	22.8	33.6	-17.4	
4.298490000000129	-8.911	-3.634	2.04	0.174	-0.175	0.15	22.5	33.0	-17.4	
4.340270000000601	-8.737	-3.613	1.989	0.098	-0.0	0.136	22.5	32.7	-17.7	
4.3763400000007096	-9.277	-3.357	2.513	-0.07	-0.166	0.458	22.5	32.1	-18.3	
4.418180000000575	-9.308	-3.23	2.188	0.111	0.122	0.348	23.1	31.5	-18.3	
4.45984000000044	-8.694	-2.811	2.321	0.089	0.152	0.521	23.4	31.2	-18.3	
4.496399999999994	-9.188	-2.878	2.513	0.114	0.063	0.336	23.4	30.9	-18.0	
4.536260000000766	-9.295	-2.713	2.17	-0.0	0.58	0.068	23.7	30.3	-18.3	
4.575410000000375	-9.12	-2.494	2.143	-0.134	0.714	0.076	24.6	30.3	-18.0	
4.606450000000223	-9.296	-2.691	2.096	-0.199	0.725	-0.082	25.8	30.0	-17.7	
4.651700000000346	-9.255	-2.339	1.796	-0.11	0.712	0.162	26.4	29.7	-17.1	
4.6867400000001	-9.554	-2.665	2.047	-0.294	0.309	0.254	26.7	29.7	-16.2	
4.727110000000721	-9.504	-2.857	1.439	-0.286	0.241	0.043	27.3	30.0	-16.2	
4.766690000000381	-9.642	-2.423	0.995	-0.257	0.097	0.144	27.9	29.7	-15.6	
4.80666999999994	-9.484	-2.122	1.024	-0.195	0.086	0.206	28.2	30.0	-14.1	
4.84650000000056	-9.374	-2.082	0.917	-0.042	0.055	0.237	27.9	30.0	-13.5	
4.898070000000189	-9.267	-2.368	0.789	-0.115	0.17	0.028	28.5	29.7	-13.2	
4.939760000000206	-9.283	-2.151	0.833	-0.111	0.186	0.094	28.2	29.7	-12.6	
4.975860000000466	-9.575	-1.987	0.912	-0.108	0.19	0.219	28.2	29.1	-12.6	
5.017730000000483	-9.699	-2.132	0.903	-0.108	0.158	0.119	28.5	29.4	-12.3	
5.0575000000008	-9.831	-1.979	0.911	-0.19	0.135	0.119	28.5	29.7	-12.0	
5.095980000000054	-9.855	-1.821	0.881	-0.121	0.186	0.054	29.1	29.7	-12.0	
5.135070000000269	-9.681	-1.725	0.931	-0.151	0.234	0.152	29.7	30.3	-11.4	
5.1749900000004345	-9.444	-1.921	0.775	-0.127	0.193	0.205	29.7	29.4	-11.4	
5.206030000000283	-9.18	-2.166	0.592	-0.085	0.126	0.105	30.6	28.8	-9.6	
5.2462500000001455	-9.298	-2.189	0.496	-0.0	0.086	0.066	30.9	27.9	-9.0	
5.286260000000766	-9.367	-2.279	0.386	-0.0	-0.028	0.081	31.2	28.5	-8.7	
5.3406700000005	-9.462	-2.322	0.225	-0.063	-0.0	-0.031	30.6	27.9	-8.7	
5.375520000000506	-9.569	-1.974	0.272	-0.076	-0.141	-0.046	30.9	28.2	-9.0	
5.41559000000052	-9.745	-1.86	0.218	-0.102	-0.121	-0.136	30.3	28.5	-9.6	
5.454620000000432	-9.746	-1.552	0.197	-0.109	0.047	-0.139	30.6	28.8	-9.3	
